Support Vector Machine, aspect0, aspect1, aspect2, aspect3, aspect4, aspect5, micro, macro
p, 0.9230769230769231, 0.7954545454545454, 0.8378378378378378, 0.8293838862559242, 0.8911917098445595, 0.8888888888888888, 0.8640132669983416, 0.8609722985597799
r, 1.0, 0.8536585365853658, 0.8611111111111112, 0.9615384615384616, 0.9885057471264368, 1.0, 0.9630314232902033, 0.9441356427268959
f1, 0.9600000000000001, 0.8235294117647058, 0.8493150684931507, 0.8905852417302799, 0.9373297002724795, 0.9411764705882353, 0.9108391608391608, 0.900322648808142

Logistic Regression, aspect0, aspect1, aspect2, aspect3, aspect4, aspect5, micro, macro
p, 0.9879518072289156, 0.8333333333333334, 0.9375, 0.9130434782608695, 0.9653179190751445, 1.0, 0.9404096834264432, 0.9395244229830438
r, 0.9761904761904762, 0.8536585365853658, 0.8333333333333334, 0.9230769230769231, 0.9597701149425287, 0.9583333333333334, 0.933456561922366, 0.9173937862436601
f1, 0.9820359281437125, 0.8433734939759037, 0.8823529411764706, 0.9180327868852459, 0.962536023054755, 0.9787234042553191, 0.9369202226345084, 0.9278424295819012

Stochastic Gradient Descent (iter = 5), aspect0, aspect1, aspect2, aspect3, aspect4, aspect5, micro, macro
p, 0.9431818181818182, 0.6166666666666667, 0.8974358974358975, 0.8974358974358975, 0.9371428571428572, 1.0, 0.8911439114391144, 0.8819771894771895
r, 0.9880952380952381, 0.9024390243902439, 0.9722222222222222, 0.7692307692307693, 0.9425287356321839, 1.0, 0.8927911275415896, 0.9290859982617762
f1, 0.9651162790697674, 0.7326732673267328, 0.9333333333333333, 0.8284023668639053, 0.9398280802292263, 1.0, 0.8919667590027701, 0.8998922211371608

Stochastic Gradient Descent (iter = 10), aspect0, aspect1, aspect2, aspect3, aspect4, aspect5, micro, macro
p, 0.975609756097561, 0.6346153846153846, 0.8823529411764706, 0.8808290155440415, 0.9180327868852459, 1.0, 0.8884955752212389, 0.8819066473864505
r, 0.9523809523809523, 0.8048780487804879, 0.8333333333333334, 0.9340659340659341, 0.9655172413793104, 0.875, 0.9279112754158965, 0.8941959183233363
f1, 0.963855421686747, 0.7096774193548387, 0.8571428571428571, 0.9066666666666667, 0.9411764705882353, 0.9333333333333333, 0.9077757685352621, 0.8853086947954464

Stochastic Gradient Descent (iter = 20), aspect0, aspect1, aspect2, aspect3, aspect4, aspect5, micro, macro
p, 0.9879518072289156, 0.6229508196721312, 0.868421052631579, 0.8325123152709359, 0.918918918918919, 1.0, 0.868020304568528, 0.8717924856204134
r, 0.9761904761904762, 0.926829268292683, 0.9166666666666666, 0.9285714285714286, 0.9770114942528736, 0.875, 0.9482439926062847, 0.9333782223290212
f1, 0.9820359281437125, 0.7450980392156863, 0.8918918918918918, 0.877922077922078, 0.947075208913649, 0.9333333333333333, 0.9063604240282687, 0.8962260799033919

Decision Tree, aspect0, aspect1, aspect2, aspect3, aspect4, aspect5, micro, macro
p, 0.9540229885057471, 0.8292682926829268, 0.825, 0.9116022099447514, 0.9523809523809523, 0.96, 0.9206642066420664, 0.9053790739190629
r, 0.9880952380952381, 0.8292682926829268, 0.9166666666666666, 0.9065934065934066, 0.9195402298850575, 1.0, 0.922365988909427, 0.9266939723205492
f1, 0.9707602339181286, 0.8292682926829268, 0.8684210526315789, 0.9090909090909091, 0.935672514619883, 0.9795918367346939, 0.9215143120960295, 0.9154674732796867

Random Forest, aspect0, aspect1, aspect2, aspect3, aspect4, aspect5, micro, macro
p, 0.9230769230769231, 0.8974358974358975, 0.8292682926829268, 0.774468085106383, 0.8969072164948454, 0.8888888888888888, 0.8500797448165869, 0.8683408839476442
r, 1.0, 0.8536585365853658, 0.9444444444444444, 1.0, 1.0, 1.0, 0.9852125693160814, 0.9663504968383018
f1, 0.9600000000000001, 0.875, 0.883116883116883, 0.8729016786570744, 0.9456521739130436, 0.9411764705882353, 0.9126712328767124, 0.9129745343792061

K-neighboor (k = 5), aspect0, aspect1, aspect2, aspect3, aspect4, aspect5, micro, macro
p:, 0.9230769230769231, 0.72, 0.8048780487804879, 0.8426395939086294, 0.9382022471910112, 0.8888888888888888, 0.8732876712328768, 0.8529476169743235
r, 1.0, 0.8780487804878049, 0.9166666666666666, 0.9120879120879121, 0.9597701149425287, 1.0, 0.9426987060998152, 0.944428912364152
f1, 0.9600000000000001, 0.7912087912087912, 0.8571428571428571, 0.8759894459102903, 0.9488636363636365, 0.9411764705882353, 0.9066666666666667, 0.8957302002023018

K-neighboor (k = 10), aspect0, aspect1, aspect2, aspect3, aspect4, aspect5, micro, macro
