,text,_score,_pvalue
1853,thấm,226.39081379995244,3.651509748106329e-51
2089,tốt,221.57914302433946,4.0920195685558836e-50
850,hút,195.08490518097804,2.468771908451976e-44
408,chất_lượng,166.71674115554134,3.8574744908245983e-38
240,bé,143.31074110866115,5.026773898351033e-33
2021,tã,126.15214433196624,2.847906542634529e-29
1262,mỏng,122.38377645267002,1.9023912562913653e-28
620,dùng,119.70114865979187,7.354639700598302e-28
304,bỉm,108.11134470594222,2.540949404081482e-25
1252,mềm,93.15151999439304,4.844023667501023e-22
1953,tràn,70.0002530344378,5.92968516316615e-17
2064,tả,67.23901448367823,2.4050722633857354e-16
1241,mặc,59.61888726768147,1.1512497779179513e-14
1222,mùi,57.988682179408556,2.6363019243883575e-14
2074,tặng,55.613189456270426,8.822967279915159e-14
1413,nhận,52.903424070012704,3.50358246727888e-13
1593,quà,48.99209046405307,2.569967570677813e-12
1425,nhẹ,46.05541856395037,1.1495476487748237e-11
697,giao,43.41312490204393,4.4320540836769126e-11
2332,đêm,43.30498499554547,4.6838869601670036e-11
854,hơn,41.7446109685138,1.0400853329609647e-10
1802,thoải_mái,41.482582837723015,1.1892577840948798e-10
1798,thoáng,38.71707731520815,4.899040351446641e-10
1056,loại,36.2032663296908,1.777723463540722e-09
2023,tè,35.88841953175513,2.0894693100269717e-09
1253,mềm_mại,35.02973661852167,3.247084621833713e-09
2143,và,33.46526638055532,7.254807884716364e-09
306,bị,32.7096244187084,1.070060697199135e-08
817,hàng,32.6598445446093,1.0978196700995158e-08
2280,êm,32.264231096006796,1.3456786682981142e-08
2188,với,31.116793565064555,2.4296027234573767e-08
1095,lưng,29.315530192999574,6.150081596785978e-08
1677,ship,27.545435752068254,1.5344705070275272e-07
954,khô,25.811384876805437,3.764613365021038e-07
1526,pampers,24.447663736862918,7.635604717529002e-07
1729,sản_phẩm_chất_lượng,23.96771452846219,9.796475075533395e-07
1218,mông,23.94493913683543,9.913053473881568e-07
871,hằn,23.218871905631573,1.4457162166955872e-06
607,dáng,23.045879354290566,1.5818116791013366e-06
942,khá,22.58665826184668,2.0087473228048955e-06
1509,ok,22.358872998008632,2.2616569483599958e-06
1312,ngon,22.312213351917904,2.3172809797611632e-06
207,bobby,22.235483956913104,2.411752001627207e-06
853,hơi,21.56262628348396,3.424606200131841e-06
1846,thơm,21.40653393500797,3.7150299618571344e-06
851,hăm,20.47087950698683,6.054543546686588e-06
1828,thích,19.332854090194864,1.0980074551520901e-05
1525,pamper,19.09457859746524,1.2439775513565147e-05
993,kèm,18.540396881186748,1.6634115578883253e-05
1811,thun,18.447316656813186,1.74666602528681e-05
1257,mịn,18.447316656813186,1.74666602528681e-05
565,cục,18.436703483432453,1.756420865557358e-05
1643,rất,18.203926666676757,1.9846922618600936e-05
2261,xệ,17.514868309260834,2.850696306525394e-05
1615,ra,16.804167824939597,4.1442183249867836e-05
1693,so,16.583535272429863,4.655342616060125e-05
943,khác,16.365152427387173,5.223685608112008e-05
1102,lượng,15.999599105748032,6.335589803671528e-05
603,dày,15.999599105748032,6.335589803671528e-05
673,form,15.705660109303675,7.400239153661567e-05
569,cứng,15.671197960917585,7.536311454539702e-05
1346,ngủ,14.793364525134194,0.00011995685026294129
180,ban_ngày,14.69408125790399,0.00012644282205356467
684,ghi,14.158007587829713,0.0001680801865574917
297,bề_mặt,13.827527612574341,0.0002003788584119395
2154,vón,13.827527612574341,0.0002003788584119395
1681,shop,13.818784160449962,0.00020131346672291233
